Date,Description,Withdrawals,Deposits,Category,Balance
"01/17/2026","RECURRING DEBIT CARD  XXXXX3834 ELEVENLABS.IO             ELEVENLABS. NY","$22.00","","Groceries","$42,571.95"
"01/16/2026","RECURRING DEBIT CARD  XXXXX3855 GOOGLE *GEMINI AGENTS     g.co/HelpPa CA","$200.00","","Services and Supplies","$42,593.95"
"01/16/2026","DEBIT CARD PURCHASE   XXXXX4291 APPLE CASH SENT MONEY     1INFINITELO CA","$200.00","","Transfers","$42,793.95"
"01/15/2026","ACH CREDIT ACME SOFTWARE LLC   PAYROLL","","$8,250.00","Other Income","$42,993.95"
"01/14/2026","ACH WEB         XXXXX2847 CON EDISON       CONED","$95.67","","Utilities","$34,743.95"
"01/13/2026","ACH WEB         7R71KCH93D2 DEPT EDUCATION   STUDENT LN","$295.78","","Loans","$34,839.62"
"01/12/2026","RECURRING DEBIT CARD  XXXXX3823 BROOKLYN BOULDERS         WWW.BRKBOUL NY","$92.50","","Subscriptions and Renewals","$35,135.40"
"01/11/2026","DEBIT CARD PURCHASE   XXXXX4291 TST* RUSS & DAUGHTERS     NEW YORK    NY","$34.56","","Restaurants and Dining","$35,227.90"
"01/10/2026","DEBIT CARD PURCHASE   XXXXX4291 NATIONAL GRID NY          XXXXX5672 NY","$112.34","","Utilities","$35,262.46"
"01/09/2026","RECURRING DEBIT CARD  XXXXX3818 GOOGLE *CLOUD Jv9Wz6      g.co/HelpPa CA","$42.87","","Services and Supplies","$35,374.80"
"01/08/2026","RECURRING DEBIT CARD  XXXXX3818 GOOGLE *GSUITE_appdev     cc@google.c CA","$18.00","","Services and Supplies","$35,417.67"
"01/07/2026","DEBIT CARD PURCHASE   XXXXX4291 AVA REALTY MANAGEMENT    XXXXX6923 NY","$2,395.00","","Services and Supplies","$35,435.67"
"01/06/2026","POS PURCHASE          POS99999999  0011428 TRADER JOES #517             BROOKLYN     NY","$43.21","","Groceries","$37,830.67"
"01/05/2026","DEBIT CARD PURCHASE   XXXXX4291 AMAZON MKTPL*WD8SO2Y02    Amzn.com/bi WA","$78.99","","General Merchandise","$37,873.88"
"01/04/2026","RECURRING DEBIT CARD  XXXXX3817 HELP.MAX.COM              MAX.COM     NY","$15.99","","Entertainment","$37,952.87"
"01/03/2026","RECURRING DEBIT CARD  XXXXX3816 SPOTIFY USA               SPOTIFY.COM NY","$10.99","","Entertainment","$37,968.86"
"01/02/2026","ACH WEBRECUR   XXXXX2714 EDUCATIONAL COMP ACH LNPYMT","$127.28","","Loans","$37,979.85"
"01/01/2026","RECURRING DEBIT CARD  XXXXX3815 NETFLIX.COM               NETFLIX.COM CA","$22.99","","Entertainment","$38,107.13"
"12/31/2025","DEBIT CARD PURCHASE   XXXXX4291 AMAZON MKTPL*WD3OK4GE2    Amzn.com/bi WA","$56.78","","-","$38,130.12"
"12/30/2025","POS PURCHASE          POS00003412  0004582 PARK SLOPE FOOD COOP         BROOKLYN     NY","$38.45","","-","$38,186.90"
"12/29/2025","RECURRING DEBIT CARD  XXXXX3810 OPENAI *CHATGPT SUBSCR    HTTPSOPENAI CA","$20.00","","-","$38,225.35"
